,Raft,Nutrients,Mixing,Spores,Trt,Bag,Day,NDay,UA,UJ,UM,MA,MJ,MM,Chaob,EdChl,TP,TN,InfDensity,UninfDensity,TotalDensity,PrevTotal,InfCount,UninfCount,TotalCount,LogTotDens,LogUninfDens,LogInfDens,LogEdChl,LogTP,LogTN
207,2,High,Mix,No,High Mix No,15,19,7,462,1235,0,0,0,0,1,9.74,23.12473567,920.8797,75.33961803,127851.3318,127851.3318,0,0,1697,1697,11.7586234,11.7586234,4.322006132,2.276241118,3.140902853,6.825329409
208,2,Low,Mix,Spores,Low Mix Spores,16,19,7,167,531,0,35,6,0,0,5.29,17.60630187,647.0095,3088.924339,52587.05339,55675.97773,0.055480379,41,698,739,10.92730405,10.87022524,8.035578199,1.665818246,2.868256899,6.472360978
209,3,Low,No,No,Low No No,17,19,7,509,221,1,0,0,0,0,23.9,34.27124102,754.1761,75.33961803,55073.26078,55073.26078,0,0,731,731,10.91641959,10.91641959,4.322006132,3.173878459,3.534306548,6.625625895
210,3,High,No,Spores,High No Spores,18,19,7,513,994,0,86,9,0,0,2.44,27.93052404,908.9723,7157.263713,113536.8044,120694.0681,0.059300874,95,1507,1602,11.70101426,11.63988233,8.875883024,0.891998039,3.329720142,6.812314621
211,3,Low,Mix,No,Low Mix No,19,19,7,1405,1528,0,0,0,0,6,7.87,13.12942677,688.6854,75.33961803,220971.0997,220971.0997,0,0,2933,2933,12.3057872,12.3057872,4.322006132,2.063058062,2.574856029,6.534784563
214,3,High,No,No,High No No,22,19,7,573,883,0,0,0,0,1,3.03,16.67461487,915.3172156,75.33961803,109694.4839,109694.4839,0,0,1456,1456,11.60545436,11.60545436,4.322006132,1.10856262,2.813887495,6.819270689
215,3,Low,Mix,Spores,Low Mix Spores,23,19,7,463,1419,0,122,6,0,0,7.06,33.73038536,742.2687,9643.471108,141789.1611,151432.6322,0.063681592,128,1882,2010,11.92789613,11.86209645,9.174036396,1.954445052,3.518399074,6.609711307
216,3,High,Mix,No,High Mix No,24,19,7,521,439,5,0,0,0,0,10.99,71.54339144,968.5093,75.33961803,72702.7314,72702.7314,0,0,965,965,11.19413423,11.19413423,4.322006132,2.396985768,4.270304139,6.875758085
217,4,Low,No,Spores,Low No Spores,25,19,7,372,965,0,63,4,0,0,1.17,20.9929908,629.1484,5047.754408,100729.0693,105776.8237,0.047720798,67,1337,1404,11.56908672,11.52018971,8.526698752,0.157003749,3.044188611,6.444367159
218,4,High,No,No,High No No,26,19,7,785,924,0,0,0,0,0,1.62,17.78142551,897.0649,75.33961803,128755.4072,128755.4072,0,0,1709,1709,11.76566982,11.76566982,4.322006132,0.482426149,2.878154402,6.799128212
219,4,Low,Mix,No,Low Mix No,27,19,7,249,594,0,0,0,0,0,3.03,13.33603852,712.5002,75.33961803,63511.298,63511.298,0,0,843,843,11.05897309,11.05897309,4.322006132,1.10856262,2.590470034,6.568780193
220,4,High,Mix,Spores,High Mix Spores,28,19,7,231,1305,0,49,1,0,0,7.18,28.68623196,926.8334,3766.980902,115721.6533,119488.6342,0.031525851,50,1536,1586,11.69097653,11.65894305,8.234029138,1.971299383,3.356417285,6.83177383
221,4,Low,No,No,Low No No,29,19,7,519,625,1,0,0,0,0,4.06,8.582196102,724.4076,75.33961803,86263.86265,86263.86265,0,0,1145,1145,11.36516605,11.36516605,4.322006132,1.401182974,2.149689837,6.585354217
222,4,Low,Mix,Spores,Low Mix Spores,30,19,7,292,938,0,72,3,0,0,3.09,14.96903782,682.7317,5650.471352,92667.73018,98318.20153,0.057471264,75,1230,1305,11.49596445,11.43677558,8.639494246,1.128171091,2.705983922,6.526101957
223,4,High,No,Spores,High No Spores,31,19,7,202,998,0,50,0,0,0,12.89,41.6595042,1001.339827,3766.980902,90407.54164,94174.52254,0.04,50,1200,1250,11.45290496,11.41208297,8.234029138,2.556451817,3.729529535,6.909094209
224,4,High,Mix,No,High Mix No,32,19,7,313,566,0,0,0,0,1,5.39,30.70026444,938.7408,75.33961803,66223.52425,66223.52425,0,0,879,879,11.10079103,11.10079103,4.322006132,1.684545385,3.424271268,6.844539403
225,1,Low,Mix,Spores,Low Mix Spores,1,22,8,435,1038,1,10,1,0,0,1.48,14.31106486,690.9848,828.7357983,111050.597,111879.3328,0.007407407,11,1474,1485,11.62517618,11.61774121,6.719901405,0.392042088,2.661033004,6.538117826
226,1,High,Mix,No,High Mix No,2,22,8,298,613,0,0,0,0,0,6.05,34.58126162,1095.5308,75.33961803,68634.39203,68634.39203,0,0,911,911,11.13654903,11.13654903,4.322006132,1.800058272,3.543311964,6.998994274
228,1,High,No,No,High No No,4,22,8,268,591,0,0,0,0,0,1.74,24.62522858,1057.8556,75.33961803,64716.73189,64716.73189,0,0,859,859,11.07777505,11.07777505,4.322006132,0.553885113,3.203771469,6.963999119
229,1,Low,Mix,No,Low Mix No,5,22,8,805,1100,0,0,0,0,1,1.67,9.368861409,690.9848,75.33961803,143521.9724,143521.9724,0,0,1905,1905,11.87424342,11.87424342,4.322006132,0.512823626,2.237391574,6.538117826
230,1,High,Mix,Spores,High Mix Spores,6,22,8,777,2961,0,28,3,0,1,2.21,20.11278195,933.4008,2335.528159,281619.4922,283955.0204,0.008224993,31,3738,3769,12.55657113,12.54831212,7.755993337,0.792992516,3.001355531,6.838834691
231,1,Low,No,No,Low No No,7,22,8,421,407,0,0,0,0,0,2.22,9.082356861,751.5888,75.33961803,62381.20373,62381.20373,0,0,828,828,11.04101929,11.04101929,4.322006132,0.797507196,2.206333725,6.622189366
232,1,High,No,Spores,High No Spores,8,22,8,240,568,0,18,3,0,0,3.1,20.23812769,963.7028,1582.131979,60874.41137,62456.54335,0.025331725,21,808,829,11.04222629,11.01656819,7.36652857,1.131402111,3.007568335,6.870782948
234,2,Low,No,Spores,Low No Spores,10,22,8,1,14,0,0,0,0,0,8.6,21.29461321,NA,75.33961803,1130.09427,1130.09427,0,0,15,15,7.030056333,7.030056333,4.322006132,2.151762203,3.05845414,NA
235,2,High,Mix,Spores,High Mix Spores,11,22,8,945,2679,1,8,2,0,1,4.16,32.73688859,NA,753.3961803,273106.1154,273859.5115,0.002751032,10,3625,3635,12.52037052,12.5176157,6.624591225,1.425515074,3.488502534,NA
236,2,Low,Mix,No,Low Mix No,12,22,8,814,1047,0,0,0,0,0,4.9,20.41719303,NA,75.33961803,140207.0292,140207.0292,0,0,1861,1861,11.85087539,11.85087539,4.322006132,1.589235205,3.016377341,NA
237,2,High,No,Spores,High No Spores,13,22,8,1783,2056,7,84,23,0,1,3.44,20.97229559,1045.2972,8061.339129,289756.1709,297817.5101,0.02706805,107,3846,3953,12.6042362,12.57679506,8.994834967,1.235471471,3.043202309,6.952056526
